trace,frames,algorithm,total_frames,events,disk_reads,disk_writes,page_fault_rate,page_faults
trace/bzip.trace,10,lru,10,1000000,17120,7646,0.0171,17100
trace/bzip.trace,10,clock,10,1000000,29228,11773,0.0292,29200
trace/bzip.trace,10,rand,10,1000000,17184,17174,0.0172,17200
trace/bzip.trace,16,lru,16,1000000,3344,1069,0.0033,3300
trace/bzip.trace,16,clock,16,1000000,3468,1128,0.0035,3500
trace/bzip.trace,16,rand,16,1000000,4541,4525,0.0045,4500
trace/bzip.trace,32,lru,32,1000000,2133,702,0.0021,2100
trace/bzip.trace,32,clock,32,1000000,2203,734,0.0022,2200
trace/bzip.trace,32,rand,32,1000000,2537,2505,0.0025,2500
trace/bzip.trace,48,lru,48,1000000,1490,505,0.0015,1500
trace/bzip.trace,48,clock,48,1000000,1557,540,0.0016,1600
trace/bzip.trace,48,rand,48,1000000,1938,1890,0.0019,1900
trace/bzip.trace,63,lru,63,1000000,1279,424,0.0013,1300
trace/bzip.trace,63,clock,63,1000000,1336,447,0.0013,1300
trace/bzip.trace,63,rand,63,1000000,1572,1509,0.0016,1600
trace/bzip.trace,79,lru,79,1000000,1055,355,0.0011,1100
trace/bzip.trace,79,clock,79,1000000,1063,364,0.0011,1100
trace/bzip.trace,79,rand,79,1000000,1333,1254,0.0013,1300
trace/bzip.trace,95,lru,95,1000000,942,310,0.0009,900
trace/bzip.trace,95,clock,95,1000000,977,325,0.001,1000
trace/bzip.trace,95,rand,95,1000000,1190,1095,0.0012,1200
trace/bzip.trace,111,lru,111,1000000,848,256,0.0008,800
trace/bzip.trace,111,clock,111,1000000,860,265,0.0009,900
trace/bzip.trace,111,rand,111,1000000,1101,990,0.0011,1100
trace/bzip.trace,127,lru,127,1000000,773,224,0.0008,800
trace/bzip.trace,127,clock,127,1000000,805,240,0.0008,800
trace/bzip.trace,127,rand,127,1000000,976,849,0.001,1000
trace/bzip.trace,143,lru,143,1000000,710,184,0.0007,700
trace/bzip.trace,143,clock,143,1000000,756,215,0.0008,800
trace/bzip.trace,143,rand,143,1000000,805,662,0.0008,800
trace/bzip.trace,158,lru,158,1000000,637,150,0.0006,600
trace/bzip.trace,158,clock,158,1000000,643,165,0.0006,600
trace/bzip.trace,158,rand,158,1000000,776,618,0.0008,800
trace/bzip.trace,174,lru,174,1000000,554,126,0.0006,600
trace/bzip.trace,174,clock,174,1000000,571,143,0.0006,600
trace/bzip.trace,174,rand,174,1000000,720,546,0.0007,700
trace/bzip.trace,190,lru,190,1000000,509,104,0.0005,500
trace/bzip.trace,190,clock,190,1000000,539,123,0.0005,500
trace/bzip.trace,190,rand,190,1000000,625,435,0.0006,600
trace/bzip.trace,206,lru,206,1000000,469,85,0.0005,500
trace/bzip.trace,206,clock,206,1000000,515,116,0.0005,500
trace/bzip.trace,206,rand,206,1000000,602,396,0.0006,600
trace/bzip.trace,222,lru,222,1000000,436,73,0.0004,400
trace/bzip.trace,222,clock,222,1000000,504,107,0.0005,500
trace/bzip.trace,222,rand,222,1000000,527,305,0.0005,500
trace/bzip.trace,238,lru,238,1000000,416,60,0.0004,400
trace/bzip.trace,238,clock,238,1000000,441,81,0.0004,400
trace/bzip.trace,238,rand,238,1000000,427,189,0.0004,400
trace/bzip.trace,254,lru,254,1000000,400,50,0.0004,400
trace/bzip.trace,254,clock,254,1000000,436,73,0.0004,400
trace/bzip.trace,254,rand,254,1000000,399,145,0.0004,400
trace/bzip.trace,269,lru,269,1000000,379,33,0.0004,400
trace/bzip.trace,269,clock,269,1000000,405,56,0.0004,400
trace/bzip.trace,269,rand,269,1000000,373,104,0.0004,400
trace/bzip.trace,285,lru,285,1000000,321,14,0.0003,300
trace/bzip.trace,285,clock,285,1000000,321,15,0.0003,300
trace/bzip.trace,285,rand,285,1000000,331,46,0.0003,300
trace/bzip.trace,301,lru,301,1000000,318,0,0.0003,300
trace/bzip.trace,301,clock,301,1000000,317,8,0.0003,300
trace/bzip.trace,301,rand,301,1000000,322,21,0.0003,300
trace/bzip.trace,317,lru,317,1000000,317,0,0.0003,300
trace/bzip.trace,317,clock,317,1000000,317,0,0.0003,300
trace/bzip.trace,317,rand,317,1000000,317,0,0.0003,300
trace/bzip.trace,333,lru,333,1000000,317,0,0.0003,300
trace/bzip.trace,333,clock,333,1000000,317,0,0.0003,300
trace/bzip.trace,333,rand,333,1000000,317,0,0.0003,300
trace/bzip.trace,349,lru,349,1000000,317,0,0.0003,300
trace/bzip.trace,349,clock,349,1000000,317,0,0.0003,300
trace/bzip.trace,349,rand,349,1000000,317,0,0.0003,300
trace/bzip.trace,365,lru,365,1000000,317,0,0.0003,300
trace/bzip.trace,365,clock,365,1000000,317,0,0.0003,300
trace/bzip.trace,365,rand,365,1000000,317,0,0.0003,300
trace/bzip.trace,380,lru,380,1000000,317,0,0.0003,300
trace/bzip.trace,380,clock,380,1000000,317,0,0.0003,300
trace/bzip.trace,380,rand,380,1000000,317,0,0.0003,300
trace/swim.trace,25,lru,25,1000000,70793,15395,0.0708,70800
trace/swim.trace,25,clock,25,1000000,82218,19013,0.0822,82200
trace/swim.trace,25,rand,25,1000000,116182,116157,0.1162,116200
trace/swim.trace,127,lru,127,1000000,13340,3830,0.0133,13300
trace/swim.trace,127,clock,127,1000000,15375,4386,0.0154,15400
trace/swim.trace,127,rand,127,1000000,18362,18235,0.0184,18400
trace/swim.trace,254,lru,254,1000000,5705,1878,0.0057,5700
trace/swim.trace,254,clock,254,1000000,6023,2003,0.006,6000
trace/swim.trace,254,rand,254,1000000,9560,9306,0.0096,9600
trace/swim.trace,381,lru,381,1000000,4360,1361,0.0044,4400
trace/swim.trace,381,clock,381,1000000,4531,1451,0.0045,4500
trace/swim.trace,381,rand,381,1000000,6595,6214,0.0066,6600
trace/swim.trace,509,lru,509,1000000,3651,1165,0.0037,3700
trace/swim.trace,509,clock,509,1000000,3819,1211,0.0038,3800
trace/swim.trace,509,rand,509,1000000,5199,4690,0.0052,5200
trace/swim.trace,636,lru,636,1000000,3208,1036,0.0032,3200
trace/swim.trace,636,clock,636,1000000,3361,1091,0.0034,3400
trace/swim.trace,636,rand,636,1000000,4479,3843,0.0045,4500
trace/swim.trace,763,lru,763,1000000,2993,929,0.003,3000
trace/swim.trace,763,clock,763,1000000,3149,1005,0.0031,3100
trace/swim.trace,763,rand,763,1000000,4058,3295,0.0041,4100
trace/swim.trace,890,lru,890,1000000,2870,864,0.0029,2900
trace/swim.trace,890,clock,890,1000000,2944,881,0.0029,2900
trace/swim.trace,890,rand,890,1000000,3697,2807,0.0037,3700
trace/swim.trace,1017,lru,1017,1000000,2804,792,0.0028,2800
trace/swim.trace,1017,clock,1017,1000000,2938,830,0.0029,2900
trace/swim.trace,1017,rand,1017,1000000,3489,2472,0.0035,3500
trace/swim.trace,1144,lru,1144,1000000,2749,696,0.0027,2700
trace/swim.trace,1144,clock,1144,1000000,2821,718,0.0028,2800
trace/swim.trace,1144,rand,1144,1000000,3261,2117,0.0033,3300
trace/swim.trace,1272,lru,1272,1000000,2716,623,0.0027,2700
trace/swim.trace,1272,clock,1272,1000000,2782,677,0.0028,2800
trace/swim.trace,1272,rand,1272,1000000,3148,1876,0.0031,3100
trace/swim.trace,1399,lru,1399,1000000,2672,579,0.0027,2700
trace/swim.trace,1399,clock,1399,1000000,2732,597,0.0027,2700
trace/swim.trace,1399,rand,1399,1000000,3044,1645,0.003,3000
trace/swim.trace,1526,lru,1526,1000000,2639,521,0.0026,2600
trace/swim.trace,1526,clock,1526,1000000,2729,569,0.0027,2700
trace/swim.trace,1526,rand,1526,1000000,2976,1450,0.003,3000
trace/swim.trace,1653,lru,1653,1000000,2620,450,0.0026,2600
trace/swim.trace,1653,clock,1653,1000000,2790,548,0.0028,2800
trace/swim.trace,1653,rand,1653,1000000,2884,1231,0.0029,2900
trace/swim.trace,1780,lru,1780,1000000,2599,400,0.0026,2600
trace/swim.trace,1780,clock,1780,1000000,2694,427,0.0027,2700
trace/swim.trace,1780,rand,1780,1000000,2807,1027,0.0028,2800
trace/swim.trace,1907,lru,1907,1000000,2585,328,0.0026,2600
trace/swim.trace,1907,clock,1907,1000000,2650,349,0.0027,2700
trace/swim.trace,1907,rand,1907,1000000,2708,801,0.0027,2700
trace/swim.trace,2034,lru,2034,1000000,2577,264,0.0026,2600
trace/swim.trace,2034,clock,2034,1000000,2643,267,0.0026,2600
trace/swim.trace,2034,rand,2034,1000000,2668,634,0.0027,2700
trace/swim.trace,2162,lru,2162,1000000,2563,188,0.0026,2600
trace/swim.trace,2162,clock,2162,1000000,2623,190,0.0026,2600
trace/swim.trace,2162,rand,2162,1000000,2622,460,0.0026,2600
trace/swim.trace,2289,lru,2289,1000000,2554,119,0.0026,2600
trace/swim.trace,2289,clock,2289,1000000,2585,116,0.0026,2600
trace/swim.trace,2289,rand,2289,1000000,2588,299,0.0026,2600
trace/swim.trace,2416,lru,2416,1000000,2544,55,0.0025,2500
trace/swim.trace,2416,clock,2416,1000000,2552,52,0.0026,2600
trace/swim.trace,2416,rand,2416,1000000,2565,149,0.0026,2600
trace/swim.trace,2543,lru,2543,1000000,2543,0,0.0025,2500
trace/swim.trace,2543,clock,2543,1000000,2543,0,0.0025,2500
trace/swim.trace,2543,rand,2543,1000000,2543,0,0.0025,2500
trace/swim.trace,2670,lru,2670,1000000,2543,0,0.0025,2500
trace/swim.trace,2670,clock,2670,1000000,2543,0,0.0025,2500
trace/swim.trace,2670,rand,2670,1000000,2543,0,0.0025,2500
trace/swim.trace,2797,lru,2797,1000000,2543,0,0.0025,2500
trace/swim.trace,2797,clock,2797,1000000,2543,0,0.0025,2500
trace/swim.trace,2797,rand,2797,1000000,2543,0,0.0025,2500
trace/swim.trace,2924,lru,2924,1000000,2543,0,0.0025,2500
trace/swim.trace,2924,clock,2924,1000000,2543,0,0.0025,2500
trace/swim.trace,2924,rand,2924,1000000,2543,0,0.0025,2500
trace/swim.trace,3052,lru,3052,1000000,2543,0,0.0025,2500
trace/swim.trace,3052,clock,3052,1000000,2543,0,0.0025,2500
trace/swim.trace,3052,rand,3052,1000000,2543,0,0.0025,2500
trace/gcc.trace,29,lru,29,1000000,88729,12130,0.0887,88700
trace/gcc.trace,29,clock,29,1000000,91829,12676,0.0918,91800
trace/gcc.trace,29,rand,29,1000000,112301,112272,0.1123,112300
trace/gcc.trace,143,lru,143,1000000,38426,5797,0.0384,38400
trace/gcc.trace,143,clock,143,1000000,40578,6262,0.0406,40600
trace/gcc.trace,143,rand,143,1000000,47886,47743,0.0479,47900
trace/gcc.trace,285,lru,285,1000000,23064,3948,0.0231,23100
trace/gcc.trace,285,clock,285,1000000,25008,4309,0.025,25000
trace/gcc.trace,285,rand,285,1000000,29347,29062,0.0293,29300
trace/gcc.trace,428,lru,428,1000000,13438,2612,0.0134,13400
trace/gcc.trace,428,clock,428,1000000,14882,2896,0.0149,14900
trace/gcc.trace,428,rand,428,1000000,19774,19346,0.0198,19800
trace/gcc.trace,570,lru,570,1000000,9156,1956,0.0092,9200
trace/gcc.trace,570,clock,570,1000000,9954,2164,0.01,10000
trace/gcc.trace,570,rand,570,1000000,14427,13857,0.0144,14400
trace/gcc.trace,713,lru,713,1000000,6936,1543,0.0069,6900
trace/gcc.trace,713,clock,713,1000000,7454,1729,0.0075,7500
trace/gcc.trace,713,rand,713,1000000,11139,10426,0.0111,11100
trace/gcc.trace,856,lru,856,1000000,5598,1251,0.0056,5600
trace/gcc.trace,856,clock,856,1000000,5960,1390,0.006,6000
trace/gcc.trace,856,rand,856,1000000,8878,8022,0.0089,8900
trace/gcc.trace,998,lru,998,1000000,4562,991,0.0046,4600
trace/gcc.trace,998,clock,998,1000000,4917,1151,0.0049,4900
trace/gcc.trace,998,rand,998,1000000,7392,6394,0.0074,7400
trace/gcc.trace,1141,lru,1141,1000000,3847,836,0.0038,3800
trace/gcc.trace,1141,clock,1141,1000000,4295,942,0.0043,4300
trace/gcc.trace,1141,rand,1141,1000000,6353,5212,0.0064,6400
trace/gcc.trace,1283,lru,1283,1000000,3513,745,0.0035,3500
trace/gcc.trace,1283,clock,1283,1000000,3662,792,0.0037,3700
trace/gcc.trace,1283,rand,1283,1000000,5444,4161,0.0054,5400
trace/gcc.trace,1426,lru,1426,1000000,3234,646,0.0032,3200
trace/gcc.trace,1426,clock,1426,1000000,3361,695,0.0034,3400
trace/gcc.trace,1426,rand,1426,1000000,4865,3439,0.0049,4900
trace/gcc.trace,1569,lru,1569,1000000,3073,586,0.0031,3100
trace/gcc.trace,1569,clock,1569,1000000,3144,624,0.0031,3100
trace/gcc.trace,1569,rand,1569,1000000,4442,2873,0.0044,4400
trace/gcc.trace,1711,lru,1711,1000000,2990,540,0.003,3000
trace/gcc.trace,1711,clock,1711,1000000,3031,561,0.003,3000
trace/gcc.trace,1711,rand,1711,1000000,4034,2323,0.004,4000
trace/gcc.trace,1854,lru,1854,1000000,2942,504,0.0029,2900
trace/gcc.trace,1854,clock,1854,1000000,2977,490,0.003,3000
trace/gcc.trace,1854,rand,1854,1000000,3767,1913,0.0038,3800
trace/gcc.trace,1996,lru,1996,1000000,2914,460,0.0029,2900
trace/gcc.trace,1996,clock,1996,1000000,2933,463,0.0029,2900
trace/gcc.trace,1996,rand,1996,1000000,3514,1518,0.0035,3500
trace/gcc.trace,2139,lru,2139,1000000,2893,403,0.0029,2900
trace/gcc.trace,2139,clock,2139,1000000,2911,420,0.0029,2900
trace/gcc.trace,2139,rand,2139,1000000,3293,1154,0.0033,3300
trace/gcc.trace,2282,lru,2282,1000000,2878,370,0.0029,2900
trace/gcc.trace,2282,clock,2282,1000000,2912,397,0.0029,2900
trace/gcc.trace,2282,rand,2282,1000000,3138,856,0.0031,3100
trace/gcc.trace,2424,lru,2424,1000000,2865,310,0.0029,2900
trace/gcc.trace,2424,clock,2424,1000000,2883,366,0.0029,2900
trace/gcc.trace,2424,rand,2424,1000000,3035,611,0.003,3000
trace/gcc.trace,2567,lru,2567,1000000,2856,264,0.0029,2900
trace/gcc.trace,2567,clock,2567,1000000,2902,291,0.0029,2900
trace/gcc.trace,2567,rand,2567,1000000,2943,376,0.0029,2900
trace/gcc.trace,2709,lru,2709,1000000,2853,119,0.0029,2900
trace/gcc.trace,2709,clock,2709,1000000,2867,115,0.0029,2900
trace/gcc.trace,2709,rand,2709,1000000,2892,183,0.0029,2900
trace/gcc.trace,2852,lru,2852,1000000,2852,0,0.0029,2900
trace/gcc.trace,2852,clock,2852,1000000,2852,0,0.0029,2900
trace/gcc.trace,2852,rand,2852,1000000,2852,0,0.0029,2900
trace/gcc.trace,2995,lru,2995,1000000,2852,0,0.0029,2900
trace/gcc.trace,2995,clock,2995,1000000,2852,0,0.0029,2900
trace/gcc.trace,2995,rand,2995,1000000,2852,0,0.0029,2900
trace/gcc.trace,3137,lru,3137,1000000,2852,0,0.0029,2900
trace/gcc.trace,3137,clock,3137,1000000,2852,0,0.0029,2900
trace/gcc.trace,3137,rand,3137,1000000,2852,0,0.0029,2900
trace/gcc.trace,3280,lru,3280,1000000,2852,0,0.0029,2900
trace/gcc.trace,3280,clock,3280,1000000,2852,0,0.0029,2900
trace/gcc.trace,3280,rand,3280,1000000,2852,0,0.0029,2900
trace/gcc.trace,3422,lru,3422,1000000,2852,0,0.0029,2900
trace/gcc.trace,3422,clock,3422,1000000,2852,0,0.0029,2900
trace/gcc.trace,3422,rand,3422,1000000,2852,0,0.0029,2900
trace/sixpack.trace,39,lru,39,1000000,60433,12306,0.0604,60400
trace/sixpack.trace,39,clock,39,1000000,63011,12975,0.063,63000
trace/sixpack.trace,39,rand,39,1000000,76502,76463,0.0765,76500
trace/sixpack.trace,194,lru,194,1000000,13758,4807,0.0138,13800
trace/sixpack.trace,194,clock,194,1000000,14803,5129,0.0148,14800
trace/sixpack.trace,194,rand,194,1000000,20301,20107,0.0203,20300
trace/sixpack.trace,389,lru,389,1000000,7025,2842,0.007,7000
trace/sixpack.trace,389,clock,389,1000000,7445,3041,0.0074,7400
trace/sixpack.trace,389,rand,389,1000000,11093,10704,0.0111,11100
trace/sixpack.trace,584,lru,584,1000000,5428,2302,0.0054,5400
trace/sixpack.trace,584,clock,584,1000000,5590,2389,0.0056,5600
trace/sixpack.trace,584,rand,584,1000000,8192,7608,0.0082,8200
trace/sixpack.trace,778,lru,778,1000000,4883,2081,0.0049,4900
trace/sixpack.trace,778,clock,778,1000000,5014,2143,0.005,5000
trace/sixpack.trace,778,rand,778,1000000,6773,5995,0.0068,6800
trace/sixpack.trace,972,lru,972,1000000,4515,1877,0.0045,4500
trace/sixpack.trace,972,clock,972,1000000,4680,1970,0.0047,4700
trace/sixpack.trace,972,rand,972,1000000,6100,5128,0.0061,6100
trace/sixpack.trace,1167,lru,1167,1000000,4345,1780,0.0043,4300
trace/sixpack.trace,1167,clock,1167,1000000,4440,1828,0.0044,4400
trace/sixpack.trace,1167,rand,1167,1000000,5588,4421,0.0056,5600
trace/sixpack.trace,1362,lru,1362,1000000,4212,1663,0.0042,4200
trace/sixpack.trace,1362,clock,1362,1000000,4295,1704,0.0043,4300
trace/sixpack.trace,1362,rand,1362,1000000,5200,3838,0.0052,5200
trace/sixpack.trace,1556,lru,1556,1000000,4122,1563,0.0041,4100
trace/sixpack.trace,1556,clock,1556,1000000,4209,1626,0.0042,4200
trace/sixpack.trace,1556,rand,1556,1000000,5004,3448,0.005,5000
trace/sixpack.trace,1750,lru,1750,1000000,4056,1474,0.0041,4100
trace/sixpack.trace,1750,clock,1750,1000000,4105,1495,0.0041,4100
trace/sixpack.trace,1750,rand,1750,1000000,4771,3021,0.0048,4800
trace/sixpack.trace,1945,lru,1945,1000000,4004,1392,0.004,4000
trace/sixpack.trace,1945,clock,1945,1000000,4014,1467,0.004,4000
trace/sixpack.trace,1945,rand,1945,1000000,4588,2643,0.0046,4600
trace/sixpack.trace,2140,lru,2140,1000000,3944,1308,0.0039,3900
trace/sixpack.trace,2140,clock,2140,1000000,3975,1277,0.004,4000
trace/sixpack.trace,2140,rand,2140,1000000,4453,2313,0.0045,4500
trace/sixpack.trace,2334,lru,2334,1000000,3930,1142,0.0039,3900
trace/sixpack.trace,2334,clock,2334,1000000,3952,1147,0.004,4000
trace/sixpack.trace,2334,rand,2334,1000000,4348,2014,0.0043,4300
trace/sixpack.trace,2528,lru,2528,1000000,3917,983,0.0039,3900
trace/sixpack.trace,2528,clock,2528,1000000,3943,967,0.0039,3900
trace/sixpack.trace,2528,rand,2528,1000000,4257,1729,0.0043,4300
trace/sixpack.trace,2723,lru,2723,1000000,3909,806,0.0039,3900
trace/sixpack.trace,2723,clock,2723,1000000,3943,778,0.0039,3900
trace/sixpack.trace,2723,rand,2723,1000000,4169,1446,0.0042,4200
trace/sixpack.trace,2918,lru,2918,1000000,3902,627,0.0039,3900
trace/sixpack.trace,2918,clock,2918,1000000,3926,661,0.0039,3900
trace/sixpack.trace,2918,rand,2918,1000000,4109,1191,0.0041,4100
trace/sixpack.trace,3112,lru,3112,1000000,3897,520,0.0039,3900
trace/sixpack.trace,3112,clock,3112,1000000,3915,600,0.0039,3900
trace/sixpack.trace,3112,rand,3112,1000000,4031,919,0.004,4000
trace/sixpack.trace,3306,lru,3306,1000000,3894,467,0.0039,3900
trace/sixpack.trace,3306,clock,3306,1000000,3903,495,0.0039,3900
trace/sixpack.trace,3306,rand,3306,1000000,3984,678,0.004,4000
trace/sixpack.trace,3501,lru,3501,1000000,3891,343,0.0039,3900
trace/sixpack.trace,3501,clock,3501,1000000,3901,337,0.0039,3900
trace/sixpack.trace,3501,rand,3501,1000000,3942,441,0.0039,3900
trace/sixpack.trace,3696,lru,3696,1000000,3891,148,0.0039,3900
trace/sixpack.trace,3696,clock,3696,1000000,3893,135,0.0039,3900
trace/sixpack.trace,3696,rand,3696,1000000,3908,212,0.0039,3900
trace/sixpack.trace,3890,lru,3890,1000000,3890,0,0.0039,3900
trace/sixpack.trace,3890,clock,3890,1000000,3890,0,0.0039,3900
trace/sixpack.trace,3890,rand,3890,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4084,lru,4084,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4084,clock,4084,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4084,rand,4084,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4279,lru,4279,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4279,clock,4279,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4279,rand,4279,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4474,lru,4474,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4474,clock,4474,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4474,rand,4474,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4668,lru,4668,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4668,clock,4668,1000000,3890,0,0.0039,3900
trace/sixpack.trace,4668,rand,4668,1000000,3890,0,0.0039,3900
